StudentID,Course,Grade,Date
S001,Economia,25,2023-05-26
S001,Matematica,28,2023-06-26
S001,Biologia,20,2023-02-27
S002,Economia,18,2023-04-03
S002,Storia,27,2023-03-05
S002,Biologia,19,2023-04-04
S002,Fisica,18,2023-02-16
S003,Economia,30,2023-04-26
S003,Economia,28,2023-04-19
S003,Fisica,20,2023-05-07
S003,Fisica,28,2023-05-20
S004,Matematica,18,2023-01-07
S004,Biologia,24,2023-01-24
S004,Matematica,20,2023-02-19
S005,Matematica,21,2023-02-21
S005,Fisica,27,2023-02-15
S005,Matematica,27,2023-04-08
S005,Economia,27,2023-01-12
S006,Programmazione,19,2023-01-28
S006,Storia,25,2023-06-07
S006,Matematica,24,2023-05-13
S006,Economia,28,2023-05-06
S007,Storia,19,2023-01-18
S007,Storia,24,2023-06-16
S007,Fisica,29,2023-06-23
S007,Matematica,27,2023-04-20
S008,Programmazione,29,2023-01-23
S008,Fisica,21,2023-01-11
S008,Fisica,18,2023-06-28
S009,Biologia,18,2023-03-04
S009,Programmazione,19,2023-05-17
S010,Programmazione,21,2023-03-20
S010,Economia,23,2023-06-26
